MEF,MEF_STAT_11,MEF_STAT_4,DISPOSITIF_FORMATION,LIBELLE_LONG,BOP,FORFAIT JOURNALIER,PLAFOND MAX
2212421011,22123124210,2212,221,1BT    TEC.MET.SPEC:TECHNQ.HABILLAG(DIP),MENJ,15,600
2213230611,22123132306,2212,221,1BT    TEC.MET.SPEC:MACHINIST.CONST(DIP),MENJ,15,600
2222421011,22133124210,2213,222,TBT    TEC.MET.SPEC:TECHNQ.HABILLAG(DIP),MENJ,20,800
2223230611,22133132306,2213,222,TBT    TEC.MET.SPEC:MACHINIST.CONST(DIP),MENJ,20,800
2402010111,23110020101,2311,240,1CAP1  CONDUCT. INSTALLATIONS PRODUCTION,MENJ,15,525
2402100211,23110021002,2311,240,1CAP1 DEVELPT: GEST.PTE EXPL.RURAL -TOM,MENJ,15,525
2402130311,23110021303,2311,240,1CAP1 DEVELPT: GEST. MILIEU MARIN -TOM,MENJ,15,525
2402130511,23110021305,2311,240,1CAP1 MAREYAGE,MENJ,15,525
2402200211,23110022002,2311,240,1CAP1 EMPLOYE TECHNIQUE DE LABORATOIRE,MENJ,15,525
2402200511,23110022005,2311,240,1CAP1  PROPR.ENVIR.URBAIN-COLLEC.RECYCL,MENJ,15,525
2402213011,23110022130,2311,240,1CAP1  CHARCUTIER-TRAITEUR,MENJ,15,525
2402213311,23110022133,2311,240,1CAP1  CHOCOLATIER CONFISEUR,MENJ,15,525
2402213511,23110022135,2311,240,1CAP1  BOUCHER,MENJ,15,525
2402213711,23110022137,2311,240,1CAP1  BOULANGER,MENJ,15,525
2402213811,23110022138,2311,240,1CAP1  GLACIER-FABRICANT,MENJ,15,525
2402213911,23110022139,2311,240,1CAP1  CUISINE,MENJ,15,525
2402214011,23110022140,2311,240,1CAP1  CREMIER-FROMAGER,MENJ,15,525
2402214111,23110022141,2311,240,1CAP1  PATISSIER,MENJ,15,525
2402214211,23110022142,2311,240,"1CAP1  PROD.SERV.REST. (RAPID,COLL,CAFE)",MENJ,15,525
2402214311,23110022143,2311,240,1CAP1  BOUCHER,MENJ,15,525
2402220111,23110022201,2311,240,1CAP1 INDUSTRIES CHIMIQUES,MENJ,15,525
2402232411,23110022324,2311,240,1CAP1 MOULEUR NOYAUTEUR: CUIVRE BRONZE,MENJ,15,525
2402233211,23110022332,2311,240,1CAP1 DOREUR A LA FEUILLE ORNEMANISTE,MENJ,15,525
2402233911,23110022339,2311,240,1CAP1 LAPIDAIRE OP_A : DIAMANT,MENJ,15,525
2402234011,23110022340,2311,240,1CAP1 ORFEVRE OP_A : MONTEUR ORFEVRERIE,MENJ,15,525
2402234111,23110022341,2311,240,1CAP1 ORFEVRE OP_B : TOURN.REPOUSSEUR,MENJ,15,525
2402234211,23110022342,2311,240,1CAP1 ORFEVRE OP_C : POLISSEUR AVIVEUR,MENJ,15,525
2402234311,23110022343,2311,240,1CAP1 LAPIDAIRE OP_B : PIERRES DE COUL.,MENJ,15,525
2402234911,23110022349,2311,240,1CAP1 BRONZIER OP_A: MONTEUR EN BRONZE,MENJ,15,525
2402235011,23110022350,2311,240,1CAP1 BRONZIER OP_B: CISELEUR SUR BRONZ,MENJ,15,525
2402235111,23110022351,2311,240,1CAP1 BRONZIER OP_C: TOURNEUR SUR BRONZ,MENJ,15,525
2402235311,23110022353,2311,240,1CAP1 EMAILLEUR D'ART SUR METAUX,MENJ,15,525
2402235411,23110022354,2311,240,1CAP1 ORFEVRE OP_D : PLANEUR EN ORFEVR.,MENJ,15,525
2402236011,23110022360,2311,240,1CAP1  METIERS DE LA FONDERIE,MENJ,15,525
2402236111,23110022361,2311,240,1CAP1  ART TEC. BIJ. JOAILL.OP.BIJ.JOAIL,MENJ,15,525
2402236211,23110022362,2311,240,1CAP1  ART TEC BIJ.JOAILL.OP.BIJ.SERTIS.,MENJ,15,525
2402236311,23110022363,2311,240,1CAP1  ART TEC BIJ.JOAILL.OP.POLIS.FINI.,MENJ,15,525
2402241911,23110022419,2311,240,1CAP1 FABRIC.INDUSTRIEL.DES CERAMIQUES,MENJ,15,525
2402242011,23110022420,2311,240,1CAP1 MODELES ET MOULES CERAMIQUES,MENJ,15,525
2402242111,23110022421,2311,240,1CAP1 TOURNAGE EN CERAMIQUE,MENJ,15,525
2402242211,23110022422,2311,240,1CAP1 DECORATION EN CERAMIQUE,MENJ,15,525
2402242511,23110022425,2311,240,1CAP1 ARTS & TECH.VERRE: VITRAILLISTE,MENJ,15,525
2402242711,23110022427,2311,240,1CAP1 ARTS & TECH.VERRE: DECORATEUR,MENJ,15,525
2402242811,23110022428,2311,240,1CAP1  ARTS DU VERRE ET DU CRISTAL,MENJ,15,525
2402242911,23110022429,2311,240,1CAP1  SOUFFLEUR VERRE : ENS.LUMINEUSE,MENJ,15,525
2402243011,23110022430,2311,240,1CAP1  SOUFFL.VERRE : VERRERIE SCIENT.,MENJ,15,525
2402250511,23110022505,2311,240,1CAP1 MISE EN OEUV.CAOUTCHOUCS & ELASTO,MENJ,15,525
2402250911,23110022509,2311,240,1CAP1  PLASTURGIE,MENJ,15,525
