MEF,DISPOSITIF_FORMATION,FORMATION_DIPLOME,DUREE_DISPOSITIF,ANNEE_DISPOSITIF,LIBELLE_COURT,LIBELLE_LONG,DATE_OUVERTURE,DATE_FERMETURE,STATUT_MEF,MEF_INSCRIPTION_SCOLARITE,MEF_STAT_11,MEF_STAT_4,DATE_INTERVENTION,LIBELLE_EDITION,N_COMMENTAIRE
2212421011,221,42024210,1,1,1BT   24210,1BT    TEC.MET.SPEC:TECHNQ.HABILLAG(DIP),9/1/97,,3,O,22123124210,2212,4/26/23,1ère bt tecnicien des métiers du spectacle op. techniques habillage,
2213230611,221,42032306,1,1,1BT   32306,1BT    TEC.MET.SPEC:MACHINIST.CONST(DIP),9/1/97,,3,O,22123132306,2212,4/26/23,1ère bt tecnicien des métiers du spectacle op. machiniste constructeur,
2222421011,222,42024210,1,1,TBT   24210,TBT    TEC.MET.SPEC:TECHNQ.HABILLAG(DIP),9/1/97,,3,O,22133124210,2213,4/26/23,Tle bt tecnicien des métiers du spectacle op. techniques habillage,
2223230611,222,42032306,1,1,TBT   32306,TBT    TEC.MET.SPEC:MACHINIST.CONST(DIP),9/1/97,,3,O,22133132306,2213,4/26/23,Tle bt tecnicien des métiers du spectacle op. machiniste constructeur,
2402010111,240,50020101,1,1,1CAP1 20101,1CAP1  CONDUCT. INSTALLATIONS PRODUCTION,9/1/13,,3,O,23110020101,2311,3/30/20,1cap1 conducteur d'installations de production,GH1
2402100211,240,50021002,1,1,1CAP1 21002,1CAP1 DEVELPT: GEST.PTE EXPL.RURAL -TOM,9/1/96,,3,O,23110021002,2311,4/26/23,1cap1 dévelop. option : gestion de la petite exploitation rurale TOM,
2402130311,240,50021303,1,1,1CAP1 21303,1CAP1 DEVELPT: GEST. MILIEU MARIN -TOM,9/1/96,,3,O,23110021303,2311,4/26/23,1cap1 développent option : gestion et entretien en milieu marin TOM,
2402130511,240,50021305,1,1,1CAP1 21305,1CAP1 MAREYAGE,9/1/95,,3,O,23110021305,2311,3/30/20,1cap1 mareyage,GH1 P
2402200211,240,50022002,1,1,1CAP1 22002,1CAP1 EMPLOYE TECHNIQUE DE LABORATOIRE,9/1/95,,3,O,23110022002,2311,3/30/20,1cap1 employé technique de laboratoire,GH1 P
2402200511,240,50022005,1,1,1CAP1 22005,1CAP1  PROPR.ENVIR.URBAIN-COLLEC.RECYCL,9/1/16,,3,O,23110022005,2311,3/30/20,1cap1 propreté de l'environnement urbain - collecte et recyclage,GH3
2402213011,240,50022130,1,1,1CAP1 22130,1CAP1  CHARCUTIER-TRAITEUR,9/1/00,,3,O,23110022130,2311,3/30/20,1cap1 charcutier-traiteur,GH3 P
2402213311,240,50022133,1,1,1CAP1 22133,1CAP1  CHOCOLATIER CONFISEUR,9/1/03,,3,O,23110022133,2311,3/30/20,1cap1 chocolatier confiseur,GH2
2402213511,240,50022135,1,1,1CAP1 22135,1CAP1  BOUCHER,9/1/06,8/31/24,3,O,23110022135,2311,4/7/23,1cap1 boucher,GH3
2402213711,240,50022137,1,1,1CAP1 22137,1CAP1  BOULANGER,9/1/15,,3,O,23110022137,2311,3/30/20,1cap1 boulanger,GH3
2402213811,240,50022138,1,1,1CAP1 22138,1CAP1  GLACIER-FABRICANT,9/1/15,,3,O,23110022138,2311,3/30/20,1cap1 glacier-fabricant,GH3
2402213911,240,50022139,1,1,1CAP1 22139,1CAP1  CUISINE,9/1/17,,3,O,23110022139,2311,3/30/20,1cap1 cuisine,GH2
2402214011,240,50022140,1,1,1CAP1 22140,1CAP1  CREMIER-FROMAGER,9/1/19,,3,O,23110022140,2311,4/26/23,1cap1 crémier-fromager,GH2
2402214111,240,50022141,1,1,1CAP1 22141,1CAP1  PATISSIER,9/1/20,,3,O,23110022141,2311,3/30/20,1cap1 pâtissier,
2402214211,240,50022142,1,1,1CAP1 22142,"1CAP1  PROD.SERV.REST. (RAPID,COLL,CAFE)",9/1/21,,3,O,23110022142,2311,3/30/20,"1cap1 production/service en restauration rapide, collective, cafétéria",
2402214311,240,50022143,1,1,1CAP1 22143,1CAP1  BOUCHER,9/1/24,,3,O,23110022143,2311,4/26/23,1cap1 boucher,
2402220111,240,50022201,1,1,1CAP1 22201,1CAP1 INDUSTRIES CHIMIQUES,9/1/95,,3,O,23110022201,2311,3/30/20,1cap1 industries chimiques,GH2 PA
2402232411,240,50022324,1,1,1CAP1 22324,1CAP1 MOULEUR NOYAUTEUR: CUIVRE BRONZE,9/1/95,,3,O,23110022324,2311,3/30/20,1cap1 mouleur noyauteur : cuivre et bronze,GH1 P
2402233211,240,50022332,1,1,1CAP1 22332,1CAP1 DOREUR A LA FEUILLE ORNEMANISTE,9/1/95,,3,O,23110022332,2311,3/30/20,1cap1 doreur à la feuille ornemaniste,GH1 P
2402233911,240,50022339,1,1,1CAP1 22339,1CAP1 LAPIDAIRE OP_A : DIAMANT,9/1/95,,3,O,23110022339,2311,3/30/20,1cap1 lapidaire option A : diamant,GH1 P
2402234011,240,50022340,1,1,1CAP1 22340,1CAP1 ORFEVRE OP_A : MONTEUR ORFEVRERIE,9/1/95,,3,O,23110022340,2311,3/30/20,1cap1 orfèvre option A : monteur en orfèvrerie,GH1 P
2402234111,240,50022341,1,1,1CAP1 22341,1CAP1 ORFEVRE OP_B : TOURN.REPOUSSEUR,9/1/95,,3,O,23110022341,2311,3/30/20,1cap1 orfèvre option B : tourneur repousseur en orfèvrerie,GH1 P
2402234211,240,50022342,1,1,1CAP1 22342,1CAP1 ORFEVRE OP_C : POLISSEUR AVIVEUR,9/1/95,,3,O,23110022342,2311,3/30/20,1cap1 orfèvre option C : polisseur aviveur en orfèvrerie,GH1 P
2402234311,240,50022343,1,1,1CAP1 22343,1CAP1 LAPIDAIRE OP_B : PIERRES DE COUL.,9/1/95,,3,O,23110022343,2311,3/30/20,1cap1 lapidaire option B : pierres de couleur,GH1 P
2402234911,240,50022349,1,1,1CAP1 22349,1CAP1 BRONZIER OP_A: MONTEUR EN BRONZE,9/1/95,,3,O,23110022349,2311,3/30/20,1cap1 bronzier option A : monteur en bronze,GH1 P
2402235011,240,50022350,1,1,1CAP1 22350,1CAP1 BRONZIER OP_B: CISELEUR SUR BRONZ,9/1/95,,3,O,23110022350,2311,3/30/20,1cap1 bronzier option B : ciseleur sur bronze,GH1 P
2402235111,240,50022351,1,1,1CAP1 22351,1CAP1 BRONZIER OP_C: TOURNEUR SUR BRONZ,9/1/95,,3,O,23110022351,2311,3/30/20,1cap1 bronzier option C : tourneur sur bronze,GH1 P
2402235311,240,50022353,1,1,1CAP1 22353,1CAP1 EMAILLEUR D'ART SUR METAUX,9/1/95,,3,O,23110022353,2311,3/30/20,1cap1 émailleur d'art sur métaux,GH1 P
2402235411,240,50022354,1,1,1CAP1 22354,1CAP1 ORFEVRE OP_D : PLANEUR EN ORFEVR.,9/1/95,,3,O,23110022354,2311,3/30/20,1cap1 orfèvre option D : planeur en orfèvrerie,GH1 P
2402236011,240,50022360,1,1,1CAP1 22360,1CAP1  METIERS DE LA FONDERIE,9/1/08,,3,O,23110022360,2311,3/30/20,1cap1 métiers de la fonderie,GH2
2402236111,240,50022361,1,1,1CAP1 22361,1CAP1  ART TEC. BIJ. JOAILL.OP.BIJ.JOAIL,9/1/09,,3,O,23110022361,2311,3/30/20,1cap1 art & techniques bijouterie-joaillerie op. bijouterie-joaillerie,GH1
2402236211,240,50022362,1,1,1CAP1 22362,1CAP1  ART TEC BIJ.JOAILL.OP.BIJ.SERTIS.,9/1/09,,3,O,23110022362,2311,3/30/20,1cap1 art & techniques bijouterie-joaillerie op. bijouterie-sertissage,GH1
2402236311,240,50022363,1,1,1CAP1 22363,1CAP1  ART TEC BIJ.JOAILL.OP.POLIS.FINI.,9/1/09,,3,O,23110022363,2311,4/26/23,1cap1 art & techniques bijouterie-joaillerie option polissage-finition,GH1
2402240611,240,50022406,1,1,1CAP1 22406,1CAP1 MAINT.INDUST.MATERX DE CONSTRUCT.,9/1/95,8/31/23,3,O,23110022406,2311,4/12/22,1cap1 agent maintenance industries matériaux construction & connexes,GH1 P
2402241911,240,50022419,1,1,1CAP1 22419,1CAP1 FABRIC.INDUSTRIEL.DES CERAMIQUES,9/1/95,,3,O,23110022419,2311,3/30/20,1cap1 fabrication industrielle des céramiques,GH1 P
2402242011,240,50022420,1,1,1CAP1 22420,1CAP1 MODELES ET MOULES CERAMIQUES,9/1/95,,3,O,23110022420,2311,3/30/20,1cap1 modèles et moules céramiques,GH1 P
2402242111,240,50022421,1,1,1CAP1 22421,1CAP1 TOURNAGE EN CERAMIQUE,9/1/95,,3,O,23110022421,2311,3/30/20,1cap1 tournage en céramique,GH1 P
2402242211,240,50022422,1,1,1CAP1 22422,1CAP1 DECORATION EN CERAMIQUE,9/1/95,,3,O,23110022422,2311,3/30/20,1cap1 décoration en céramique,GH1 P
2402242511,240,50022425,1,1,1CAP1 22425,1CAP1 ARTS & TECH.VERRE: VITRAILLISTE,9/1/95,,3,O,23110022425,2311,3/30/20,1cap1 arts et techniques du verre option vitrailliste,GH1 P
2402242711,240,50022427,1,1,1CAP1 22427,1CAP1 ARTS & TECH.VERRE: DECORATEUR,9/1/95,,3,O,23110022427,2311,3/30/20,1cap1 arts et techniques du verre option décorateur,GH1 P
2402242811,240,50022428,1,1,1CAP1 22428,1CAP1  ARTS DU VERRE ET DU CRISTAL,9/1/10,,3,O,23110022428,2311,3/30/20,1cap1 arts du verre et du cristal,GH1
2402242911,240,50022429,1,1,1CAP1 22429,1CAP1  SOUFFLEUR VERRE : ENS.LUMINEUSE,9/1/10,,3,O,23110022429,2311,3/30/20,1cap1 souffleur de verre option enseigne lumineuse,GH1
2402243011,240,50022430,1,1,1CAP1 22430,1CAP1  SOUFFL.VERRE : VERRERIE SCIENT.,9/1/10,,3,O,23110022430,2311,3/30/20,1cap1 souffleur de verre option verrerie scientifique,GH1
2402250511,240,50022505,1,1,1CAP1 22505,1CAP1 MISE EN OEUV.CAOUTCHOUCS & ELASTO,9/1/95,,3,O,23110022505,2311,3/30/20,1cap1 mise en oeuvre des caoutchoucs & des élastomères thermoplastiques,
2402250911,240,50022509,1,1,1CAP1 22509,1CAP1  PLASTURGIE,9/1/00,,3,O,23110022509,2311,3/30/20,1cap1 plasturgie,GH2
2402251011,240,50022510,1,1,1CAP1 22510,1CAP1  COMPOSIT.PLASTIQ.CHAUDRONNES,9/1/01,,3,O,23110022510,2311,3/30/20,"1cap1 composites, plastiques chaudronnés",GH3
2402260911,240,50022609,1,1,1CAP1 22609,1CAP1 SCIERIES OP_B: AFFUTEUR SCIAGE,9/1/92,,3,O,23110022609,2311,3/30/20,1cap1 mécanicien conducteur scieries et industries mécaniques du bois,GH1 P
