full,abbreviated
ADJUDANT,ADJ
AERODROME,AER
AEROGARE,AERG
AERONAUTIQUE,AERN
AEROPORT,AERP
AGENCE,AGCE
AGRICOLE,AGRIC
ANCIEN,ANC
ANCIENNEMENT,ANC
APPARTEMENT,APP
APPARTEMENTS,APP
ARMEMENT,ARMT
ARRONDISSEMENT,ARR
ASPIRANT,ASP
ASSOCIATION,ASSOC
ASSURANCE,ASSUR
ATELIER,AT
BARAQUEMENT,BRQ
BAS,BAS
BASSES,BAS
BASSE,BAS
BATAILLON,BTN
BATAILLONS,BTN
BATIMENT,BAT
BATIMENTS,BAT
BIS,B
BOITE POSTALE,BP
CABINET,CAB
CANTON,CANT
CANTONAL,CANT
CARDINAL,CDL
CASE POSTALE,CP
CHAMBRE,CHBR
CITADELLE,CTD
COLLEGE,COLL
COLONEL,CNL
COLONIE,COLO
COMITE,CTE
COMMANDANT,CDT
COMMERCIAL,CIAL
COMMUNAL,COM
COMMUNAUX,COM
COMMUNE,COM
COMPAGNIE,CIE
COMPAGNON,COMP
COMPAGNONS,COMP
COOPERATIVE,COOP
COURSE SPECIALE,CS
CROIX,CRX
DELEGATION,DELEG
DEPARTEMENTAL,DEP
DEPARTEMENTAUX,DEP
DIRECTEUR,DIR
DIRECTION,DIR
DIVISION,DIV
DOCTEUR,DR
ECONOMIE,ECO
ECONOMIQUE,ECO
ECRIVAIN,ECRIV
ECRIVAINS,ECRIV
ENSEIGNEMENT,ENST
ENSEMBLE,ENS
ENTREE,ENT
ENTREES,ENT
ENTREPRISE,ENTR
EPOUSE,EP
EPOUX,EP
ETABLISSEMENT,ETS
ETABLISSEMENTS,ETS
ETAGE,ETG
ETAT MAJOR,EM
EVEQUE,EVQ
FACULTE,FAC
FORESTIER,FOR
FORET,FOR
FRANCAIS,FR
FRANCAISE,FR
FUSILIERS,FUS
GENDARMERIE,GENDARMERIE
GENERAL,GAL
GOUVERNEMENTAL,GOUV
GOUVERNEUR,GOUV
GRAND,GD
GRANDE,GDE
GRANDES,GDES
GRANDS,GDS
HAUT,HT
HAUTE,HTE
HAUTES,HTES
HAUTS,HTS
HOPITAL,HOP
HOSPITAUX,HOP
HOSPICE,HOSP
HOSPITALIER,HOSP
HOTEL,HOT
INFANTERIE,INFANT
INFERIEUR,INF
INFERIEURE,INF
INGENIEUR,ING
INSPECTEUR,INSP
INSTITUT,INST
INTERNATIONAL,INTERN
INTERNATIONALE,INTERN
LABORATOIRE,LABO
LIEUTENANT,LT
LIEUTENANT DE VAISSEAU,LTDV
MADAME,MME
MADEMOISELLE,MLLE
MAGASIN,MAG
MAISON,MAIS
MAITRE,ME
MARECHAL,MAL
MARITIME,MAR
MEDECIN,MED
MEDICAL,MED
MESDAMES,MMES
MESDEMOISELLES,MLLES
MESSIEURS,MM
MILITAIRE,MIL
MINISTERE,MIN
MONSEIGNEUR,MGR
MONSIEUR,M
MUNICIPAL,MUN
MUTUEL,MUT
NATIONAL,NAL
NOTRE DAME,ND
NOUVEAU,NOUV
NOUVELLE,NOUV
OBSERVATOIRE,OBS
PASTEUR,PAST
PETIT,PT
PETITE,PTE
PETITES,PTES
PETITS,PTS
POLICE,POL
PREFECTURE,PREF
PREFET,PREF
PRESIDENT,PDT
PROFESSEUR,PR
PROFESSIONNEL,PROF
PROFESSIONNELLE,PROF
PROLONGE,PROL
PROLONGEE,PROL
PROPRIETE,PROP
QUATER,Q
QUINQIES,C
RECTEUR,RECT
REGIMENT,RGT
REGION,REG
REGIONAL,REG
REPUBLIQUE,REP
RESTAURANT,REST
SAINT,ST
SAINTE,STE
SAINTES,STES
SAINTS,STS
SANATORIUM,SANA
SERGENT,SGT
SERVICE,SCE
SOCIETE,SOC
SOUS COUVERT,SC
SOUS PREFECTURE,SPREF
SOUS PREFET,SPREF
SUPERIEUR,SUP
SUPERIEURE,SUP
SYNDICAT,SYND
TECHNICIEN,TECH
TECHNIQUE,TECH
TER,T
TRI SERVICE ARRIVEE,TSA
TUNNEL,TUN
UNIVERSITAIRE,UNVT
UNIVERSITE,UNIV
VELODROME,VELOD
VEUVE,VVE
VIEILLE,VIEL
VIEILLES,VIEL
VIEUX,VX
