numero_uai;appellation_officielle;denomination_principale;patronyme_uai;secteur_public_prive_libe;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;libelle_commune;coordonnee_x;coordonnee_y;epsg;latitude;longitude;appariement;localisation;nature_uai;nature_uai_libe;etat_etablissement;etat_etablissement_libe;code_departement;code_region;code_academie;code_commune;libelle_departement;libelle_region;libelle_academie;position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0061565U;Ecole maternelle Max Gallo;ECOLE MATERNELLE PUBLIQUE;MAX GALLO MAT;Public;Avenue José Bernard;MOYENNE CORNICHE;;06300;NICE;Nice;1046528.9;6299104.1;EPSG:2154;43.7060201695726;7.30043012277937;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;006;93;23;06088;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.7060201695726,7.30043012277937;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1983-09-01
0061588U;Ecole primaire Escragnolles;ECOLE PRIMAIRE;ESCRAGNOLLES;Public;;RN 85;;06460;ESCRAGNOLLES;Escragnolles;1004740.8;6299732.9;EPSG:2154;43.73090969207124;6.783059936518004;Correcte;Ville;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06058;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.73090969207124,6.783059936518004;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0061590W;Ecole élémentaire Garbejaire;ECOLE ELEMENTAIRE PUBLIQUE;GARBEJAIRE;Public;126 avenue Georges Pompidou;;;06560;VALBONNE;Valbonne;1026930.4;6288834.2;EPSG:2154;43.62306183089671;7.051119411235956;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06152;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.62306183089671,7.051119411235956;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0061592Y;Ecole élémentaire Saint-Exupéry;ECOLE ELEMENTAIRE PUBLIQUE;SAINT EXUPERY;Public;380 avenue Saint Roman;;;06500;MENTON;Menton;1061065.3;6310545.6;EPSG:2154;43.80154187628484;7.488509748299213;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06083;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.80154187628484,7.488509748299213;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0061597D;Ecole élémentaire Saint-Antoine-Ginestière;ECOLE ELEMENTAIRE PUBLIQUE;SAINT ANTOINE GINESTIERE;Public;Avenue Durandy;;;06200;NICE;Nice;1039629.9;6299107.3;EPSG:2154;43.70939465002056;7.2149797108061176;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06088;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.70939465002056,7.2149797108061176;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0061620D;Ecole élémentaire Campagno;ECOLE ELEMENTAIRE PUBLIQUE;CAMPAGNO;Public;Quartier de l'Istre;VAL DE TIGNET;;06530;LE TIGNET;Le Tignet;1010122.3;6288749.6;EPSG:2154;43.62985831056211;6.843130488319572;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06140;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.62985831056211,6.843130488319572;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1986-09-01
0061623G;Ecole maternelle Dubouchage;ECOLE MATERNELLE PUBLIQUE;DUBOUCHAGE MAT;Public;3 boulevard Dubouchage;;;06000;NICE;Nice;1044377.3;6298729.2;EPSG:2154;43.70370228890069;7.273529448679207;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;006;93;23;06088;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.70370228890069,7.273529448679207;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1986-09-01
0061642C;Lycée général et technologique International;LYCEE GENERAL ET TECHNOLOGIQUE;INTERNATIONAL;Public;190 rue Frédéric Mistral;;97;06560;VALBONNE;Valbonne;1026209.5;6288556.0;EPSG:2154;43.620894203024136;7.042025769097966;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;006;93;23;06152;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.620894203024136,7.042025769097966;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1986-05-12
0061649K;Ecole élémentaire Val des Fées;ECOLE ELEMENTAIRE PUBLIQUE;VAL DES FEES;Public;Chemin de Carimail;ROCHEVILLE;;06110;LE CANNET;Le Cannet;1022548.9;6283612.4;EPSG:2154;43.57814625520535;6.993650033757847;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06030;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.57814625520535,6.993650033757847;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1987-09-01
0061650L;Ecole maternelle HP Girard;ECOLE MATERNELLE PUBLIQUE;HENRI PAUL GIRARD MAT-MAIRE COLOMARS-1987/2008;Public;Rue Sigaut;;;06670;COLOMARS;Colomars;1039858.5;6304661.4;EPSG:2154;43.75919178924131;7.22149294470284;Correcte;Rue;101;ECOLE MATERNELLE;1;OUVERT;006;93;23;06046;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.75919178924131,7.22149294470284;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1987-09-01
0061667E;Section d'enseignement général et professionnel adapté du Collège des Baous;SEGPA;CLG DES BAOUS;Public;1835 route de Gattières;;;06640;ST JEANNET;Saint-Jeannet;1034400.3;6302868.3;EPSG:2154;43.74568236677401;7.152650613372838;Parfaite;Numéro de rue;390;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;1;OUVERT;006;93;23;06122;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.74568236677401,7.152650613372838;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1988-07-01
